0,1,0.605994
100,58,0.249195
200,106,0.310236
300,151,0.295459
400,207,0.278503
500,246,0.259782
600,292,0.322245
700,342,0.198552
800,394,0.199232
900,439,0.193732
1000,489,0.198544
1100,538,0.238203
1200,597,0.158713
1300,645,0.236392
1400,685,0.212441
1500,731,0.178861
1600,782,0.169893
1700,834,0.181328
1800,880,0.148543
1900,927,0.199101
2000,978,0.20626
2100,1047,0.199413
2200,1097,0.127674
2300,1144,0.202338
2400,1192,0.168512
2500,1238,0.11513
2600,1287,0.254119
2700,1340,0.171522
2800,1392,0.171427
2900,1437,0.106991
3000,1490,0.178679
3100,1539,0.167475
3200,1583,0.148265
3300,1635,0.249606
3400,1684,0.265849
3500,1718,0.230386
3600,1765,0.175443
3700,1804,0.129707
3800,1854,0.13004
3900,1901,0.155998
4000,1954,0.11277
4100,2010,0.129965
4200,2054,0.157446
4300,2104,0.160196
4400,2145,0.152482
4500,2186,0.151725
4600,2231,0.122403
4700,2275,0.125445
4800,2330,0.134946
4900,2384,0.102808
5000,2429,0.18816
5100,2484,0.108569
5200,2525,0.10835
5300,2576,0.110374
5400,2630,0.111778
5500,2675,0.135892
5600,2720,0.156324
5700,2764,0.153648
5800,2802,0.148665
5900,2851,0.0734566
6000,2903,0.167578
6100,2951,0.177385
6200,2994,0.140246
6300,3050,0.121661
6400,3088,0.125683
6500,3137,0.148583
6600,3188,0.0989837
6700,3240,0.142865
6800,3294,0.133064
6900,3337,0.116577
7000,3382,0.0939858
7100,3433,0.118221
7200,3480,0.172518
7300,3527,0.154683
7400,3576,0.142016
7500,3633,0.133016
7600,3684,0.105002
7700,3732,0.15581
7800,3778,0.127972
7900,3825,0.165391
8000,3864,0.0680601
8100,3909,0.121736
8200,3954,0.16098
8300,3996,0.125984
8400,4048,0.136203
8500,4099,0.0724877
8600,4152,0.104706
8700,4204,0.116611
8800,4251,0.146505
8900,4301,0.160197
9000,4349,0.148268
9100,4397,0.0887942
9200,4442,0.145345
9300,4482,0.0707749
9400,4527,0.0887052
9500,4574,0.182128
9600,4624,0.0849271
9700,4674,0.116662
9800,4725,0.146846
9900,4773,0.121611
10000,4826,0.119276
10100,4866,0.150955
10200,4907,0.167934
10300,4958,0.106451
10400,5011,0.0724527
10500,5058,0.138946
10600,5106,0.105258
10700,5155,0.0898043
10800,5204,0.121597
10900,5259,0.0769331
11000,5304,0.120748
11100,5353,0.116204
11200,5403,0.114795
11300,5449,0.194039
11400,5490,0.0887559
11500,5550,0.11577
11600,5598,0.0951895
