0,1,-nan
100,49,-nan
200,104,-nan
300,144,-nan
400,193,-nan
500,246,-nan
600,293,-nan
700,341,-nan
800,393,-nan
900,438,-nan
1000,486,-nan
1100,532,-nan
1200,587,-nan
1300,638,-nan
1400,682,-nan
1500,733,-nan
1600,769,-nan
1700,819,-nan
1800,863,-nan
1900,911,-nan
2000,960,-nan
2100,997,-nan
2200,1042,-nan
2300,1093,-nan
2400,1141,-nan
2500,1197,-nan
2600,1251,-nan
2700,1299,-nan
2800,1336,-nan
2900,1386,-nan
3000,1435,-nan
3100,1493,-nan
3200,1541,-nan
3300,1593,-nan
3400,1646,-nan
3500,1693,-nan
3600,1748,-nan
3700,1791,-nan
3800,1837,-nan
3900,1882,-nan
4000,1925,-nan
4100,1966,-nan
4200,2010,-nan
4300,2065,-nan
4400,2114,-nan
4500,2162,-nan
4600,2207,-nan
4700,2258,-nan
4800,2307,-nan
4900,2352,-nan
5000,2395,-nan
5100,2452,-nan
5200,2509,-nan
5300,2553,-nan
5400,2598,-nan
5500,2638,-nan
5600,2693,-nan
5700,2735,-nan
5800,2776,-nan
5900,2818,-nan
6000,2867,-nan
6100,2912,-nan
6200,2961,-nan
6300,3003,-nan
6400,3048,-nan
6500,3094,-nan
6600,3142,-nan
6700,3192,-nan
6800,3239,-nan
6900,3289,-nan
7000,3331,-nan
7100,3373,-nan
7200,3422,-nan
7300,3473,-nan
7400,3519,-nan
7500,3565,-nan
7600,3617,-nan
7700,3663,-nan
7800,3712,-nan
7900,3764,-nan
8000,3805,-nan
8100,3855,-nan
8200,3907,-nan
8300,3944,-nan
8400,3991,-nan
8500,4035,-nan
8600,4090,-nan
8700,4138,-nan
8800,4188,-nan
8900,4245,-nan
9000,4282,-nan
9100,4337,-nan
9200,4386,-nan
9300,4431,-nan
9400,4472,-nan
9500,4522,-nan
9600,4559,-nan
9700,4606,-nan
9800,4648,-nan
9900,4702,-nan
10000,4754,-nan
10100,4798,-nan
10200,4843,-nan
10300,4892,-nan
10400,4940,-nan
10500,4993,-nan
10600,5042,-nan
10700,5103,-nan
10800,5153,-nan
10900,5191,-nan
11000,5242,-nan
11100,5290,-nan
11200,5338,-nan
11300,5383,-nan
11400,5431,-nan
11500,5475,-nan
11600,5526,-nan
11700,5576,-nan
11800,5624,-nan
11900,5670,-nan
12000,5724,-nan
12100,5773,-nan
12200,5825,-nan
12300,5873,-nan
12400,5923,-nan
12500,5975,-nan
12600,6009,-nan
12700,6054,-nan
12800,6098,-nan
12900,6143,-nan
13000,6197,-nan
13100,6240,-nan
13200,6284,-nan
13300,6327,-nan
13400,6369,-nan
13500,6419,-nan
13600,6468,-nan
13700,6527,-nan
13800,6568,-nan
13900,6617,-nan
14000,6661,-nan
14100,6710,-nan
14200,6763,-nan
14300,6809,-nan
14400,6857,-nan
14500,6907,-nan
14600,6956,-nan
14700,7006,-nan
14800,7057,-nan
14900,7108,-nan
15000,7157,-nan
15100,7206,-nan
15200,7257,-nan
15300,7297,-nan
15400,7340,-nan
15500,7379,-nan
15600,7423,-nan
15700,7473,-nan
15800,7521,-nan
15900,7563,-nan
16000,7613,-nan
16100,7676,-nan
16200,7727,-nan
16300,7772,-nan
16400,7814,-nan
16500,7863,-nan
16600,7916,-nan
16700,7967,-nan
